idx, head1, head2, gaze1, gaze2, time
1, 0.328118014924, -0.554004886239, 0.155054123203, -0.242519516906, 1504091628.46
2, 0.338581631383, -0.559472380786, 0.155492167972, -0.241691265253, 1504091628.52
3, 0.327920852077, -0.555183900991, 0.154744646315, -0.243287814585, 1504091628.55
4, 0.337991529383, -0.558218993426, 0.146537295227, -0.247253700955, 1504091628.62
5, 0.344497435221, -0.557445068413, 0.145880813211, -0.247014648655, 1504091628.75
6, 0.347095325817, -0.557027362125, 0.145987784059, -0.248317599538, 1504091628.82
7, 0.347842552922, -0.556096205367, 0.146519627854, -0.249149122529, 1504091628.92
8, 0.343397690716, -0.556530131089, 0.146883954958, -0.248881091835, 1504091628.95
9, 0.347270608368, -0.555328007974, 0.14539830254, -0.250673948976, 1504091629.05
10, 0.353247492051, -0.555613261066, 0.145810880788, -0.251044444598, 1504091629.09
11, 0.347403106703, -0.554358282045, 0.145358365508, -0.251010133589, 1504091629.12
12, 0.321544013597, -0.542538383919, 0.145938530102, -0.252050761336, 1504091629.16
13, 0.321518253988, -0.540970784994, 0.14507409875, -0.252049034831, 1504091629.2
14, 0.347703926942, -0.553264087063, 0.145395499935, -0.252668736077, 1504091629.29
15, 0.321432809013, -0.545141451327, 0.145028554657, -0.251406151246, 1504091629.36
16, 0.353282728972, -0.556879928918, 0.145818770327, -0.251651215239, 1504091629.39
17, 0.371583405854, -0.551679326368, 0.146462769061, -0.251707694599, 1504091629.45
18, 0.372904914633, -0.551839896349, 0.152915801761, -0.250308688483, 1504091629.49
19, 0.371104230621, -0.551515044013, 0.152719518416, -0.25094600532, 1504091629.52
20, 0.374805026692, -0.552201044869, 0.152813633742, -0.249073736232, 1504091629.59
21, 0.37575466059, -0.552750465408, 0.153683653902, -0.248323554265, 1504091629.66
22, 0.376068697355, -0.552966617866, 0.153536011307, -0.248014565278, 1504091629.69
23, 0.376382597975, -0.553182611269, 0.154367896734, -0.246212096817, 1504091629.72
24, 0.354013053056, -0.551179346002, 0.153602175952, -0.24520626486, 1504091629.82
25, 0.352928675527, -0.559590267476, 0.153822915835, -0.245041745839, 1504091629.86
26, 0.349241488449, -0.560567063506, 0.154275047303, -0.245134902419, 1504091629.89
27, 0.339521299185, -0.557865168503, 0.154796245363, -0.244261051106, 1504091629.92
28, 0.348414896907, -0.560877933859, 0.154258467131, -0.24450166519, 1504091629.99
29, 0.338953902876, -0.557503575966, 0.154688780983, -0.244386584582, 1504091630.02
30, 0.350218680503, -0.559946365199, 0.154085791014, -0.243747268572, 1504091630.09
31, 0.340242949343, -0.558591106687, 0.181529373762, -0.246418320017, 1504091630.22
32, 0.349252529877, -0.55260720275, 0.181358215856, -0.246325169746, 1504091630.25
33, 0.344127666762, -0.56272141194, 0.182070397001, -0.245435017029, 1504091630.29
34, 0.340644927018, -0.560035845767, 0.181287773278, -0.245651694731, 1504091630.32
35, 0.348530091371, -0.554395831436, 0.181149998359, -0.245919469392, 1504091630.35
36, 0.362895000651, -0.556764699087, 0.180902295428, -0.24600250458, 1504091630.39
37, 0.35739627202, -0.553917629201, 0.179962673283, -0.245422518673, 1504091630.42
38, 0.357972338347, -0.553851474003, 0.179376762786, -0.245381333778, 1504091630.45
39, 0.364434194242, -0.558753778665, 0.18005991087, -0.243817496524, 1504091630.49
40, 0.348450601593, -0.556170329056, 0.163039252509, -0.242682688945, 1504091630.55
41, 0.364830736796, -0.559799631961, 0.15862565856, -0.241992729452, 1504091630.59
42, 0.356817542495, -0.555242841753, 0.158016933586, -0.24149287899, 1504091630.62
43, 0.367514609915, -0.560825318477, 0.157051687336, -0.241180206241, 1504091630.69
44, 0.367937697615, -0.560821344828, 0.156525811757, -0.240312915461, 1504091630.79
45, 0.367315633521, -0.560134750607, 0.156707779983, -0.240328180647, 1504091630.82
46, 0.370312815833, -0.561399285621, 0.156512673764, -0.239656538309, 1504091630.89
47, 0.364711278632, -0.559848272633, 0.15648551325, -0.240384403782, 1504091630.92
48, 0.369943082622, -0.558562615193, 0.15622566846, -0.240200502233, 1504091630.99
49, 0.393904950611, -0.558410641632, 0.156120105418, -0.240448355115, 1504091631.06
50, 0.371880392803, -0.558380855873, 0.155830632581, -0.240097732542, 1504091631.09
