idx, head1, head2, gaze1, gaze2, time
1, 0.235484997959, -0.375886737041, -0.146172110629, -0.174030615942, 1504779870.22
2, 0.240503117901, -0.369474359798, -0.146581215927, -0.174866811863, 1504779870.26
4, 0.238429816848, -0.373290422496, -0.148436936185, -0.176411346272, 1504779870.32
5, 0.241951472896, -0.370582073006, -0.15183928357, -0.177518081319, 1504779870.36
6, 0.240187596786, -0.374278525889, -0.153457392671, -0.177816429785, 1504779870.39
7, 0.240154261848, -0.375052589175, -0.154089402027, -0.17742988587, 1504779870.42
8, 0.244150721576, -0.372582597172, -0.153046969129, -0.177308969344, 1504779870.46
9, 0.243762356141, -0.374358485854, -0.152945131018, -0.175878619199, 1504779870.49
13, 0.239035902361, -0.380025870648, 0.0695657999998, -0.185365938293, 1504779870.62
14, 0.243786943579, -0.376534136113, 0.070791158892, -0.183288852523, 1504779870.66
15, 0.244211875083, -0.377437878705, 0.0718661334164, -0.179745369227, 1504779870.69
16, 0.238525364467, -0.375659194472, 0.0722473414306, -0.178245212396, 1504779870.72
17, 0.245979281484, -0.374941351218, 0.0722913481668, -0.175093492842, 1504779870.76
20, 0.257213308215, -0.377419573254, 0.0764763362171, -0.165680570248, 1504779870.86
22, 0.25730217355, -0.386948969088, 0.0703963429845, -0.161919334294, 1504779870.92
23, 0.265932598526, -0.38227052012, 0.0695914500653, -0.16008290673, 1504779870.96
25, 0.263543901142, -0.390978555979, 0.0685621891232, -0.156319864553, 1504779871.02
26, 0.266991477173, -0.388078574168, 0.0693569239064, -0.155011740692, 1504779871.06
29, 0.26700471514, -0.393807494894, 0.0677842433788, -0.149146831061, 1504779871.16
30, 0.268219117913, -0.397658944841, 0.0658818540622, -0.14849794142, 1504779871.19
39, 0.261319136756, -0.408944404434, -0.157580483557, -0.145025811949, 1504779871.49
40, 0.260783551029, -0.411491323477, -0.15608230685, -0.141850766519, 1504779871.52
42, 0.250345777914, -0.40760504236, -0.155100864455, -0.140523692804, 1504779871.59
43, 0.260356931271, -0.415658918446, -0.152886770189, -0.138566725537, 1504779871.62
44, 0.260590948035, -0.413968294297, -0.152186767501, -0.138496356945, 1504779871.66
45, 0.250403471111, -0.411258182315, -0.152152388075, -0.137665483298, 1504779871.69
46, 0.25903249071, -0.418060204909, -0.151134067027, -0.136678768897, 1504779871.72
47, 0.260145655305, -0.417148184652, -0.15274166131, -0.136443837053, 1504779871.76
48, 0.247655781846, -0.413485563666, -0.149685449738, -0.133785091394, 1504779871.79
49, 0.24579326339, -0.414910220644, -0.150808161466, -0.135021632681, 1504779871.82
50, 0.256733750152, -0.420868873654, -0.15002720315, -0.134317463246, 1504779871.86
51, 0.244646482115, -0.413789971942, -0.148275382872, -0.134184252938, 1504779871.89
53, 0.254269357988, -0.420888196975, -0.148177335063, -0.133812981188, 1504779871.96
54, 0.244022436545, -0.415289992833, -0.148558970787, -0.132984249464, 1504779871.99
55, 0.252457913906, -0.421713862427, -0.148172272135, -0.130475463285, 1504779872.02
57, 0.24336507389, -0.416925261741, -0.148679338924, -0.129969055631, 1504779872.09
58, 0.254356913099, -0.423965331587, -0.147634332339, -0.128639399843, 1504779872.12
59, 0.254126685907, -0.424369475473, -0.147664356243, -0.12787725631, 1504779872.16
60, 0.243318805019, -0.418066885044, -0.147816098508, -0.127713009613, 1504779872.19
61, 0.25416331824, -0.425090936616, -0.147561455838, -0.127304740673, 1504779872.22
62, 0.254325032572, -0.425253017027, -0.146864317056, -0.12781462609, 1504779872.26
63, 0.249088993377, -0.422274146228, -0.145949308873, -0.12521537939, 1504779872.29
65, 0.252866370505, -0.426726302646, -0.14596998291, -0.125011068666, 1504779872.36
66, 0.241855866253, -0.420833085732, -0.144950952408, -0.124415907971, 1504779872.39
67, 0.251529969548, -0.427491245614, -0.144526745673, -0.123434929834, 1504779872.42
